AUTHOR GROUP1
1632506 : 4.9E-324
1634203 : 0.055223123466099054
1635606 : 0.05932435926918817
1636367 : 0.3392142805595269
1636579 : 4.9E-324
1638447 : 0.14955124178189336
1639627 : 0.25041900940008993
1641656 : 4.9E-324
1642018 : 0.16619284336569276
1649882 : 0.32715703549766106
1651350 : 0.1121285308237207
1657953 : 0.005432227414697406
1665255 : 4.9E-324
1672037 : 0.011301026446011775
1672554 : 4.9E-324
1679303 : 4.9E-324
1691060 : 0.012974808048044911
1693982 : 0.024061738151241678
1700782 : 4.9E-324
1700807 : 0.06931952740219272
1709042 : 0.043054516763186786
1726675 : 0.042422081729131624
1755997 : 0.020034540090568015
1756805 : 0.0015551699423401782
1756874 : 4.9E-324
1759443 : 0.0026949506949909634
1759818 : 0.009696775573915153
1772259 : 1.827137349980124E-4
1875664 : 0.0025314928592031884
1876677 : 0.006105430435594036
1911080 : 0.0015840440414643402
2036284 : 6.247277832300988E-5
2062158 : 4.9E-324
2390072 : 0.7071067811865468

AUTHOR GROUP2
1634204 : 0.01350624387387114
1635058 : 0.05478967828059006
1635903 : 0.11033508398016315
1641409 : 0.09571492394307567
1647019 : 0.08516005150718577
1649651 : 0.06393286710546567
1649831 : 0.03414929039370592
1650202 : 0.28085768279280265
1672067 : 0.0878049247721366
1672500 : 0.04395596672990757
1672555 : 0.05489983964374658
1673667 : 0.114640936839463
1679311 : 0.04999414425468671
1689133 : 0.11342866135654797
1701194 : 0.09231073142660803
1701195 : 0.057835894854076884
1706961 : 0.27966107329382556
1708489 : 0.03514658583348987
1717396 : 0.039969069838282564
1743291 : 0.010366562796249635
1743632 : 0.003028181827377978
1747591 : 0.020333059055139387
1749147 : 0.10860886024210932
1751579 : 0.04998545769916811
1756499 : 0.027747681489785056
1758891 : 0.0023024161395981224
1758896 : 0.012679206227384202
1758957 : 0.018567383982716838
1767798 : 0.05184734621834299
1792289 : 0.23200348640154042
1792339 : 0.010732639155548517
1792340 : 0.08352112126480721
1792577 : 0.029620924215171384
1792688 : 0.045358604901088416
1879077 : 0.03799673043078272
1913144 : 0.17879522399196254
1931101 : 0.02130212376659444
2034835 : 0.035073675455880235
2035130 : 0.041590690152470675
2035134 : 0.002017291300507268
2044172 : 4.884981308350689E-15
2080404 : 5.967448757360216E-16
2080448 : 2.0747292772682613E-15
2371891 : 2.2040314017046773E-17

AUTHOR GROUP3
1632672 : 0.04609200268092534
1635490 : 0.05030272383150303
1639041 : 0.040261716077559566
1648720 : 0.018289216984977073
1653321 : 0.022874155411128017
1677020 : 0.024371300644577036
1677489 : 0.046121793109732134
1693985 : 0.07785131983353516
1749524 : 0.1090186507322363
1755528 : 0.07925250283989835
1755661 : 0.10743401501414124
1756460 : 0.263206117185789
1756682 : 0.3575510780397594
1756778 : 0.01255452574653688
1756806 : 0.1123376279019646
1756898 : 0.05905155261334402
1757570 : 0.046004125070399186
1758870 : 0.02779072047690968
1758958 : 0.05340257592812183
1764417 : 0.05441038200484193
1800077 : 0.0021350206628990755
1823882 : 0.015144854367143554
2034808 : 0.05888494572201347
2036489 : 1.5532279972585295E-13
2036525 : 1.257618770238671E-12
2101523 : 6.912487092756312E-14
2266970 : 8.626000485201556E-15

COAUTHOR GROUP1
1632506 : 4.9E-324
1635058 : 0.11789214877721388
1639041 : 4.9E-324
1641409 : 4.9E-324
1642018 : 0.11094390466353461
1650202 : 0.19364089351451658
1657953 : 4.9E-324
1673667 : 0.08564025237738673
1677489 : 0.04637750305893136
1679303 : 0.00318046415628963
1691060 : 4.9E-324
1706961 : 0.02019099740158119
1743632 : 4.9E-324
1747591 : 4.9E-324
1751579 : 0.26389942137495886
1755661 : 4.9E-324
1755997 : 0.0023870208493739524
1756460 : 0.16910089328456582
1756682 : 4.9E-324
1756898 : 0.11120754606139258
1758870 : 0.11011670830779714
1758958 : 0.0010665306902205942
1764417 : 0.04028865380288027
1767798 : 0.12625625689268702
1792289 : 4.9E-324
1792688 : 4.219725131725144E-4
1911080 : 0.00919878119433335
1913144 : 0.06514162404757146
1931101 : 4.9E-324
2034835 : 0.008264072651780374
2036525 : 4.9E-324
2062158 : 4.9E-324
2080404 : 4.9E-324
2266970 : 4.9E-324

COAUTHOR GROUP2
1635490 : 0.05259360301221851
1635606 : 0.04663619652761472
1635903 : 0.08694036722352427
1639627 : 0.16216661597381637
1648720 : 0.12047665609534461
1649831 : 0.2618816426103582
1651350 : 0.14448841214479016
1653321 : 0.0661662321414981
1665255 : 0.08042582735895538
1672037 : 0.011829910074711939
1672067 : 0.02090788796583296
1672554 : 0.009590327299112977
1679311 : 0.005776740331301151
1693982 : 4.2327252813834093E-16
1700782 : 3.8846963840155624E-16
1701195 : 1.5126788710517758E-15
1749147 : 0.03796284045579644
1755528 : 0.0760393536633017
1756499 : 0.001378793902140181
1756778 : 0.006982168662629161
1756805 : 0.017709844467911313
1756806 : 0.030103991030840528
1757570 : 0.01711911200278933
1758957 : 0.0014228188312301483
1759818 : 0.10094713520064802
1772259 : 0.08390802952588398
1792339 : 0.04494809569517047
1792577 : 0.2430440637736566
1823882 : 0.10378301883842794
2034808 : 0.018995601151738796
2035130 : 0.07310861749154257
2035134 : 0.24067396135402136
2036489 : 0.23367889050325225
2080448 : 4.8258272378198797E-14
2101523 : 1.4511655765936382E-13
2371891 : 2.2313401126794474E-13

COAUTHOR GROUP3
1632672 : 0.1368538938357446
1634203 : 0.23314189259871557
1634204 : 0.018890384562833235
1636367 : 0.09817145612942069
1636579 : 0.02065269426544269
1638447 : 0.13478693830892013
